"","ID","COU","SITE","SITE_ID","PLOT","GRAZ","ARIDITY.v3","coverDryfun20","coverBiodesert100","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","percentN","percentC","Life_form","taxon"
"15",2,"Algeria","El Ouassria",1,2,2,0.8317,2,12,5.08,88.17948718,0.228706967,2.6485,6,143,2.518449817,36.57067881,"Wood","Matthiola longipetala"
"16",2,"Algeria","El Ouassria",1,2,2,0.8317,17,73,11.8,104.7680279,0.224176133,0.352943214,11,400,4.867324848,40.39140646,"Herb","Allium cupani"
"17",2,"Algeria","El Ouassria",1,2,2,0.8317,2,10,2.63,107.6111111,0.288,0.430444444,21,540,NA,NA,"Wood","Artemisia campestris"
"18",2,"Algeria","El Ouassria",1,2,2,0.8317,27,89,2.773333333,57.11469756,0.32702872,0.719693095,10,440,1.19475859,46.56474134,"Herb","Atractylis serratuloides"
"19",2,"Algeria","El Ouassria",1,2,2,0.8317,1,4,2.84,158.95,0.117647059,1.059666667,2,35,NA,NA,"Wood","Echium trygorrhizum"
"20",2,"Algeria","El Ouassria",1,2,2,0.8317,410,1700,55.58333333,40.44409228,0.613103542,1.464959722,103,20300,1.137736428,41.32390925,"Grass","Stipa tenacissima"
"21",2,"Algeria","El Ouassria",1,2,2,0.8317,1,9,13,140.7777778,0.138461538,1.0136,3,66,NA,NA,"Herb","Scorzonera undulata"
"22",2,"Algeria","El Ouassria",1,2,2,0.8317,6,39,7.288,114.4127937,0.516466957,0.601649524,10,196,NA,NA,"Grass","Stipa parviflora"
"23",2,"Algeria","El Ouassria",1,2,2,0.8317,14,68,3.386666667,116.5999613,0.32559313,0.795645671,6,72,2.379333791,36.13201511,"Herb","Plantago albicans"
"24",3,"Algeria","El Ouassria",1,3,1,0.8317,308,1291,55,43.12481173,0.591705161,1.369743651,NA,NA,1.007906315,41.86931469,"Grass","Stipa tenacissima"
"25",3,"Algeria","El Ouassria",1,3,1,0.8317,1,3,8,96.39130435,0.410714286,0.4434,12,160,NA,NA,"Grass","Stipa parviflora"
"26",3,"Algeria","El Ouassria",1,3,1,0.8317,25,129,15.8,83.17512842,0.277158879,1.226317778,19,729,2.010677208,38.66132631,"Herb","Iris sisyrynchium"
"27",3,"Algeria","El Ouassria",1,3,1,0.8317,4,14,2.5,135.5060445,0.225681783,0.197028387,1,170,3.65578615,44.41149244,"Herb","Telephium imperati"
"28",3,"Algeria","El Ouassria",1,3,1,0.8317,2,22,0.73,88.04227941,0.354545455,0.056430303,3,54,0.961152705,35.59904655,"Herb","Paronychia argentea"
"29",3,"Algeria","El Ouassria",1,3,1,0.8317,37,145,2.69,59.53066145,0.293337373,0.700300085,12,700,1.702288458,40.62755317,"Herb","Atractylis serratuloides"
"30",3,"Algeria","El Ouassria",1,3,1,0.8317,3,9,13,131.9617891,0.144347654,1.065522619,5,308,2.063580894,41.91132408,"Herb","Scorzonera undulata"
"31",3,"Algeria","El Ouassria",1,3,1,0.8317,8,15,2.4475,70.79205032,0.285059621,0.11245858,16,616,4.49829425,38.13792168,"Wood","Noaea mucronata"
"32",3,"Algeria","El Ouassria",1,3,1,0.8317,29,128,3.264,125.2216567,0.207174829,0.894984127,9,99,1.803275193,29.03298357,"Herb","Plantago albicans"
"33",3,"Algeria","El Ouassria",1,3,1,0.8317,8,23,2.3225,124.5392439,0.234381549,0.664321875,6,24,2.853478545,35.58394721,"Wood","Ajuga iva"
"34",3,"Algeria","El Ouassria",1,3,1,0.8317,13,72,12.91666667,94.42840881,0.2168758,0.381693508,15,504,4.881180956,40.29279324,"Herb","Allium cupani"
"35",3,"Algeria","El Ouassria",1,3,1,0.8317,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Stipa barbata"
"36",3,"Algeria","El Ouassria",1,3,1,0.8317,1,6,4,97.3115942,0.241681261,3.35725,2,48,NA,NA,"Herb","Salvia verbenaca"
"37",16,"Argentina","Rio Colorado",6,1,3,0.8212,291,1549,0.43125,51.1469179,0.437559714,0.03632037,165,40000,2.351248877,38.60898881,"Wood","Condalia microphylla"
"38",16,"Argentina","Rio Colorado",6,1,3,0.8212,18,350,0.825,132.4130622,0.207770795,0.042346663,158,5500,4.481654631,36.24170751,"Wood","Lycium chilense"
"39",16,"Argentina","Rio Colorado",6,1,3,0.8212,25,660,44.55555556,94.06361721,0.51389471,0.252234035,60,1650,1.094349119,40.25430856,"Grass","Pappostipa humilis"
"40",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Larrea cuneifolia"
"41",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,442,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Larrea divaricata"
"42",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ephedra triandra"
"43",16,"Argentina","Rio Colorado",6,1,3,0.8212,1,NA,9,99.37209302,0.26875,0.8546,40,320,NA,NA,"Herb","Conyza lorentzii"
"44",16,"Argentina","Rio Colorado",6,1,3,0.8212,199.5,750,22.04714286,101.9731297,0.379462848,0.256755613,70,2100,1.74371934,39.5964957,"Grass","Nassella tenuis"
"45",16,"Argentina","Rio Colorado",6,1,3,0.8212,10,133,1.4,50.89073227,0.488270595,0.4279,120,8000,3.02287632,58.76015147,"Wood","Schinus johnstonii"
"46",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Prosopidastrum globosum"
"47",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Bredemeyera microphylla"
"48",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Poa ligularis"
"49",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Monttea aphylla"
"50",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Senna aphylla"
"51",16,"Argentina","Rio Colorado",6,1,3,0.8212,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Poa lanuginosa"
"52",16,"Argentina","Rio Colorado",6,1,3,0.8212,232.5,1448,9.736666667,59.90600101,0.411080516,8.259888889,200,70000,2.72404231,34.4563399,"Wood","Prosopis flexuosa"
"53",16,"Argentina","Rio Colorado",6,1,3,0.8212,20,259,0.58,35.24761905,0.621301775,0.036284314,56,7560,NA,NA,"Wood","Chuquiraga rosulata"
"54",16,"Argentina","Rio Colorado",6,1,3,0.8212,2,10,2.43,105.255814,0.421568627,0.9052,70,2700,NA,NA,"Wood","Aloysia gratissima"
"55",16,"Argentina","Rio Colorado",6,1,3,0.8212,105.5,464,49.42857143,61.16544342,0.43815546,0.933812657,74,8000,1.398333525,27.6644942,"Grass","Amelichloa ambigua"
"56",16,"Argentina","Rio Colorado",6,1,3,0.8212,22,148,2.9,75.31011071,0.319075761,0.782971429,40,1050,1.809988832,39.04583261,"Herb","Glandularia parodii"
"57",16,"Argentina","Rio Colorado",6,1,3,0.8212,9.5,72,2.191428571,182.6375931,0.24198599,1.369257143,20,216,4.903531,35.20823038,"Wood","Sphaeralcea mendocina"
"58",16,"Argentina","Rio Colorado",6,1,3,0.8212,307,931,38.55555556,82.73043498,0.419774814,1.013942574,70,6216,1.715831557,34.05495327,"Grass","Nassella longiglumis"
"59",16,"Argentina","Rio Colorado",6,1,3,0.8212,31,207,1.558181818,119.0641042,0.344491681,0.162004133,52.5,1584,2.248520648,49.58887232,"Wood","Baccharis ulicina"
"60",16,"Argentina","Rio Colorado",6,1,3,0.8212,2,39,2.06,80.52040816,0.404958678,1.315166667,166,7600,NA,NA,"Wood","Geoffroea decorticans"
"61",16,"Argentina","Rio Colorado",6,1,3,0.8212,7,69,52.5,43.7774626,0.461175954,0.404873563,56,3600,1.454586616,40.0668327,"Grass","Pappostipa speciosa"
"62",17,"Argentina","Rio Colorado",6,2,2,0.8223,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Sphaeralcea mendocina"
"63",17,"Argentina","Rio Colorado",6,2,2,0.8223,5,144,3.46,71.15217391,0.37704918,0.5455,32,2385,NA,NA,"Wood","Brachyclados lycioides"
"64",17,"Argentina","Rio Colorado",6,2,2,0.8223,1,1,8,101.3918919,0.259345794,9.0036,6,209,1.911218909,43.96603053,"Herb","Trichocline sinuata"
"65",17,"Argentina","Rio Colorado",6,2,2,0.8223,20,25,10.36,17.22262774,0.440514469,1.8876,40,4900,1.129246351,38.21444359,"Wood","Ephedra ochreata"
"66",17,"Argentina","Rio Colorado",6,2,2,0.8223,3,69,25,99.35135135,0.560606061,0.14704,20,440,NA,NA,"Grass","Pappostipa humilis"
"67",17,"Argentina","Rio Colorado",6,2,2,0.8223,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Junellia seriphioides"
"68",17,"Argentina","Rio Colorado",6,2,2,0.8223,50,867,7.13,13.85955056,0.53776435,0.9868,16,897,NA,NA,"Wood","Prosopidastrum globosum"
"69",17,"Argentina","Rio Colorado",6,2,2,0.8223,11,NA,6.2325,306.7566545,0.186941566,3.23115,44,360,4.320672106,39.81868188,"Herb","Conyza lorentzii"
"70",17,"Argentina","Rio Colorado",6,2,2,0.8223,90,263,0.633333333,42.23969039,0.652801311,0.035712081,125,10260,1.275521938,42.70512185,"Wood","Chuquiraga rosulata"
"71",17,"Argentina","Rio Colorado",6,2,2,0.8223,20,38,6.95,23.85897436,0.480739599,1.063428571,30,6000,NA,NA,"Wood","Senna aphylla"
"72",17,"Argentina","Rio Colorado",6,2,2,0.8223,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Nassella longiglumis"
"73",17,"Argentina","Rio Colorado",6,2,2,0.8223,50,472,0.42,62.60273973,0.439759036,0.042314815,15,26800,NA,NA,"Wood","Condalia microphylla"
"74",17,"Argentina","Rio Colorado",6,2,2,0.8223,1,79,1.88,108.852459,0.319371728,0.086233766,34,40000,NA,NA,"Wood","Baccharis ulicina"
"75",17,"Argentina","Rio Colorado",6,2,2,0.8223,35.5,117,66.75,62.17157266,0.449736047,0.463430067,60,3000,2.351527774,37.54193724,"Grass","Pappostipa speciosa"
"76",17,"Argentina","Rio Colorado",6,2,2,0.8223,50,55,5.94,20.01345291,0.446,0.743833333,180,42000,NA,NA,"Wood","Monttea aphylla"
"77",17,"Argentina","Rio Colorado",6,2,2,0.8223,65,1879,11,41.0927888,0.46615238,6.6375,180,110200,NA,NA,"Wood","Prosopis flexuosa"
"78",17,"Argentina","Rio Colorado",6,2,2,0.8223,10,47,1.28,109.7627119,0.347058824,0.087513514,27,690,NA,NA,"Wood","Baccharis gilliesii"
"79",17,"Argentina","Rio Colorado",6,2,2,0.8223,310,2083,0.95,83.54410456,0.450876657,0.292470068,300,98600,2.633599802,42.53473383,"Wood","Larrea divaricata"
"80",17,"Argentina","Rio Colorado",6,2,2,0.8223,55.5,320,0.2825,72.08177673,0.458530923,0.017530626,42,3500,2.10884911,42.73559719,"Herb","Acantholippia seriphioides"
"81",17,"Argentina","Rio Colorado",6,2,2,0.8223,133,350,0.995714286,121.0865962,0.286261819,0.043826853,180,23100,4.808440428,36.75782548,"Wood","Lycium chilense"
"82",17,"Argentina","Rio Colorado",6,2,2,0.8223,830,4624,22.38888889,117.3273257,0.382316014,0.259508328,26,1496,2.493567349,38.83194198,"Grass","Nassella tenuis"
"83",17,"Argentina","Rio Colorado",6,2,2,0.8223,4,83,3.176666667,79.89250402,0.324572928,1.078666667,27,918,1.808879653,36.22698851,"Herb","Glandularia parodii"
"84",17,"Argentina","Rio Colorado",6,2,2,0.8223,4.5,7,0.87,107.5491733,0.407595184,0.019839294,6,192,2.182581212,39.0879551,"Herb","Cardionema ramosissima"
"85",17,"Argentina","Rio Colorado",6,2,2,0.8223,13,99,0.935,64.88989899,0.431624897,0.064927394,50,2400,2.140974035,43.16054908,"Wood","Bredemeyera microphylla"
"86",17,"Argentina","Rio Colorado",6,2,2,0.8223,NA,NA,NA,NA,NA,NA,NA,NA,3.008473605,49.42228743,"Wood","Prosopis flexuosa"
"87",18,"Argentina","Rio Colorado",6,3,1,0.8223,5,6,0.25,67.66447368,0.475,0.03016129,33,126,NA,NA,"Herb","Acantholippia seriphioides"
"88",18,"Argentina","Rio Colorado",6,3,1,0.8223,570,2626,0.465555556,48.91681649,0.500639779,0.042212298,220,142355,1.795928107,41.10804575,"Wood","Condalia microphylla"
"89",18,"Argentina","Rio Colorado",6,3,1,0.8223,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Baccharis crispa"
"90",18,"Argentina","Rio Colorado",6,3,1,0.8223,17,92,8.17,18.03587706,0.496563191,1.281666667,100,2400,0.836145565,31.39008496,"Wood","Ephedra triandra"
"91",18,"Argentina","Rio Colorado",6,3,1,0.8223,350,1650,19.84615385,122.4459931,0.41467299,0.201614596,30,660,2.180552304,37.59662601,"Grass","Nassella tenuis"
"92",18,"Argentina","Rio Colorado",6,3,1,0.8223,5,5,7.63,24.81967213,0.480314961,0.56775,37,1600,NA,NA,"Wood","Senna aphylla"
"93",18,"Argentina","Rio Colorado",6,3,1,0.8223,18,NA,8.271428571,274.3707479,0.178556977,6.194942857,40,1540,4.378161223,36.56046595,"Herb","Conyza lorentzii"
"94",18,"Argentina","Rio Colorado",6,3,1,0.8223,2,2,55,46.95092025,0.468390805,0.364428571,50,2300,NA,NA,"Grass","Amelichloa ambigua"
"95",18,"Argentina","Rio Colorado",6,3,1,0.8223,2,4,1.3,99.64285714,0.449541284,0.107307692,18,100,NA,NA,"Wood","Baccharis gilliesii"
"96",18,"Argentina","Rio Colorado",6,3,1,0.8223,160.5,1370,7.664,14.01435511,0.55324358,1.016928459,140,30400,NA,NA,"Wood","Prosopidastrum globosum"
"97",18,"Argentina","Rio Colorado",6,3,1,0.8223,1,4,57,53.40486726,0.361022364,0.670527778,NA,NA,1.570008968,36.75826019,"Grass","Poa lanuginosa"
"98",18,"Argentina","Rio Colorado",6,3,1,0.8223,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Larrea divaricata"
"99",18,"Argentina","Rio Colorado",6,3,1,0.8223,2,7,0.54,116.5925926,0.38028169,0.046985075,12,80,NA,NA,"Wood","Baccharis melanopotamica"
"100",18,"Argentina","Rio Colorado",6,3,1,0.8223,24.5,164,67.66666667,54.82525897,0.508531837,0.307296129,60,1890,1.409360725,39.53258397,"Grass","Pappostipa speciosa"
"101",18,"Argentina","Rio Colorado",6,3,1,0.8223,26,128,1.62,162.6461039,0.19622454,0.050100029,140,14400,4.825408395,34.82313363,"Wood","Lycium gilliesianum"
"102",18,"Argentina","Rio Colorado",6,3,1,0.8223,79,351,48.85714286,78.97987073,0.535341551,0.235155023,50,2726,1.436246888,39.49374386,"Grass","Pappostipa humilis"
"103",18,"Argentina","Rio Colorado",6,3,1,0.8223,3,6,1.87,103.1195881,0.352642276,0.9953,53,1000,3.210332303,37.11172944,"Wood","Sphaeralcea mendocina"
"104",18,"Argentina","Rio Colorado",6,3,1,0.8223,96,197,7.535,14.6566193,0.505577763,1.414078571,56,3000,0.839417913,33.02631316,"Wood","Ephedra ochreata"
"105",18,"Argentina","Rio Colorado",6,3,1,0.8223,NA,NA,NA,NA,NA,NA,NA,NA,3.399413628,43.198025,"Wood","Prosopis flexuosa"
"106",18,"Argentina","Rio Colorado",6,3,1,0.8223,175,1435,0.585714286,39.5118364,0.67093978,0.031057415,74,13800,1.062580806,45.7593128,"Wood","Chuquiraga rosulata"
"107",18,"Argentina","Rio Colorado",6,3,1,0.8223,90,435,2.1425,88.02097065,0.431946997,1.416759524,240,14400,2.591629097,45.83311671,"Wood","Geoffroea decorticans"
"108",18,"Argentina","Rio Colorado",6,3,1,0.8223,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Cardionema ramosissima"
"109",18,"Argentina","Rio Colorado",6,3,1,0.8223,28,254,0.805,124.3469294,0.252124449,0.027654164,170,5605,3.933296779,43.25822449,"Wood","Lycium chilense"
"110",18,"Argentina","Rio Colorado",6,3,1,0.8223,11,88,3.533333333,70.4916221,0.341548023,1.435866667,53,510,1.936562521,38.37171943,"Herb","Glandularia parodii"
"111",18,"Argentina","Rio Colorado",6,3,1,0.8223,40,43,4,63.76271186,0.383116883,0.179142857,70,12000,NA,NA,"Wood","Brachyclados lycioides"
"112",18,"Argentina","Rio Colorado",6,3,1,0.8223,70,669,8.556666667,60.26279261,0.462733972,6.068944444,140,23800,NA,NA,"Wood","Prosopis flexuosa"
"113",18,"Argentina","Rio Colorado",6,3,1,0.8223,26,106,1.5,128.5460664,0.397257111,0.075398912,36,1360,2.156482296,47.74038438,"Wood","Baccharis ulicina"
"114",18,"Argentina","Rio Colorado",6,3,1,0.8223,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Schinus johnstonii"
"115",19,"Argentina","Valcheta",7,1,3,0.8738,2,109,2.6,NA,0.468085106,NA,25,182,NA,NA,"Wood","Chuquiraga erinacea"
"116",19,"Argentina","Valcheta",7,1,3,0.8738,48,458,0.756666667,67.18375789,0.453733663,0.245921863,118,17600,2.218544482,42.10546974,"Wood","Larrea divaricata"
"117",19,"Argentina","Valcheta",7,1,3,0.8738,105,623,0.78,51.27577601,0.503042645,0.226422857,124,24600,1.573400669,36.15947854,"Wood","Larrea cuneifolia"
"118",19,"Argentina","Valcheta",7,1,3,0.8738,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Schinus johnstonii"
"119",19,"Argentina","Valcheta",7,1,3,0.8738,1,17,1.06,165.4444444,0.341772152,0.124083333,42,306,NA,NA,"Wood","Mulguraea aspera"
"120",19,"Argentina","Valcheta",7,1,3,0.8738,117,409,10.9,114.443199,0.366824057,0.280117489,30,920,2.480029935,29.99117314,"Grass","Nassella tenuis"
"121",19,"Argentina","Valcheta",7,1,3,0.8738,1,18,NA,NA,0.293706294,NA,90,600,NA,NA,"Wood","Lycium chilense"
"122",19,"Argentina","Valcheta",7,1,3,0.8738,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Pappostipa speciosa"
"123",19,"Argentina","Valcheta",7,1,3,0.8738,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Boopis anthemoides"
"124",19,"Argentina","Valcheta",7,1,3,0.8738,1,1,25,127.0833333,0.342857143,0.508333333,20,360,NA,NA,"Grass","Nassella longiglumis"
"125",19,"Argentina","Valcheta",7,1,3,0.8738,6,11,0.88,132.5545455,0.351419878,0.190173611,17,255,2.279709352,40.09083907,"Wood","Tetraglochin caespitosum"
"126",19,"Argentina","Valcheta",7,1,3,0.8738,22,142,3.181818182,97.9360037,0.289690207,0.661413605,14,810,2.022094474,35.61374635,"Wood","Gutierrezia baccharoides"
"127",19,"Argentina","Valcheta",7,1,3,0.8738,7,18,25,112.553252,0.300667931,0.6171,35,112,1.336343255,35.65042673,"Grass","Poa ligularis"
"128",19,"Argentina","Valcheta",7,1,3,0.8738,5,112,1.65,62.95294118,0.250737463,0.137205128,140,62400,NA,NA,"Wood","Bougainvillea spinosa"
"129",19,"Argentina","Valcheta",7,1,3,0.8738,94.5,356,0.230909091,86.87625552,0.390972505,0.0183041,40,2400,2.510818978,38.45032852,"Herb","Acantholippia seriphioides"
"130",19,"Argentina","Valcheta",7,1,3,0.8738,75,205,6.51,8.422845691,0.648894668,0.8406,200,85800,2.603734428,38.33255209,"Wood","Monttea aphylla"
"131",20,"Argentina","Valcheta",7,2,2,0.8738,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Ephedra ochreata"
"132",20,"Argentina","Valcheta",7,2,2,0.8738,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Gutierrezia baccharoides"
"133",20,"Argentina","Valcheta",7,2,2,0.8738,3,9,3,23.48905109,0.53515625,0.3218,105,4200,NA,NA,"Wood","Chuquiraga erinacea"
"134",20,"Argentina","Valcheta",7,2,2,0.8738,45,109,0.86,178.4443734,0.172627119,0.040760439,60,7380,4.179316544,35.32325705,"Wood","Lycium chilense"
"135",20,"Argentina","Valcheta",7,2,2,0.8738,18,114,13.29166667,134.2563924,0.309106129,0.396910377,20,391,2.82334235,30.00515256,"Grass","Nassella tenuis"
"136",20,"Argentina","Valcheta",7,2,2,0.8738,60,461,11,50.00914634,0.431011827,3.2806,80,19800,NA,NA,"Wood","Prosopis flexuosa"
"137",20,"Argentina","Valcheta",7,2,2,0.8738,363,1550,0.814545455,64.84988941,0.487463053,0.331426339,210,63800,2.482859818,41.85374167,"Wood","Larrea divaricata"
"138",20,"Argentina","Valcheta",7,2,2,0.8738,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Sphaeralcea mendocina"
"139",20,"Argentina","Valcheta",7,2,2,0.8738,15,322,7.11,8.828316611,0.6325811,1.319833333,85,4200,0.576180811,50.54790436,"Wood","Monttea aphylla"
"140",20,"Argentina","Valcheta",7,2,2,0.8738,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Poa ligularis"
"141",20,"Argentina","Valcheta",7,2,2,0.8738,10,36,1.7,47.45614035,0.452380952,0.386428571,70,17760,NA,NA,"Wood","Schinus johnstonii"
"142",20,"Argentina","Valcheta",7,2,2,0.8738,57,258,0.231666667,90.97687808,0.381574475,0.016136041,24,6300,2.761076715,33.97890158,"Herb","Acantholippia seriphioides"
"143",20,"Argentina","Valcheta",7,2,2,0.8738,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Pappostipa speciosa"
"144",20,"Argentina","Valcheta",7,2,2,0.8738,3,10,24.5,107.8164725,0.271461988,0.636081818,20,1,2.767342735,38.08631753,"Grass","Poa lanuginosa"
"145",21,"Argentina","Valcheta",7,3,1,0.8731,1,NA,52,139.7738095,0.282828283,1.956833333,36,1,NA,NA,"Grass","Poa lanuginosa"
"146",21,"Argentina","Valcheta",7,3,1,0.8731,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Grass","Jarava neaei"
"147",21,"Argentina","Valcheta",7,3,1,0.8731,80,93,7.29,11.1995118,0.532534853,1.302041667,50,25500,1.019936056,41.93231041,"Wood","Ephedra ochreata"
"148",21,"Argentina","Valcheta",7,3,1,0.8731,2,21,1,123.4210526,0.222222222,0.055176471,60,680,NA,NA,"Wood","Lycium chilense"
"149",21,"Argentina","Valcheta",7,3,1,0.8731,55,188,2.5,54.74946581,0.376827626,0.136462815,130,18500,2.296159295,37.60710281,"Wood","Chuquiraga erinacea"
"150",21,"Argentina","Valcheta",7,3,1,0.8731,102,1009,6.665,7.226849249,0.632031231,1.1949,180,152100,0.255606389,33.05470063,"Wood","Monttea aphylla"
"151",21,"Argentina","Valcheta",7,3,1,0.8731,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Wood","Tetraglochin caespitosum"
"152",21,"Argentina","Valcheta",7,3,1,0.8731,25,123,19.53571429,89.03185707,0.378925626,0.350165795,30,800,2.448491891,38.47325112,"Grass","Nassella tenuis"
"153",21,"Argentina","Valcheta",7,3,1,0.8731,58,197,6.586,17.57121415,0.544707006,0.821013333,36,13200,0.70155173,21.74902339,"Wood","Senna aphylla"
"154",21,"Argentina","Valcheta",7,3,1,0.8731,78,1126,0.811666667,60.10653218,0.508140527,0.296230094,160,41400,2.133111265,39.15666608,"Wood","Larrea divaricata"
"155",21,"Argentina","Valcheta",7,3,1,0.8731,70,469,11,55.10734463,0.446406053,9.754,100,26000,NA,NA,"Wood","Prosopis flexuosa"
"156",21,"Argentina","Valcheta",7,3,1,0.8731,6,33,3.403333333,177.1929268,0.197473707,0.253426768,36,1400,3.360723918,39.20498569,"Wood","Gutierrezia baccharoides"
"157",21,"Argentina","Valcheta",7,3,1,0.8731,56,102,0.274,73.54759734,0.378231773,0.023833186,47,4800,2.547546125,34.75105509,"Herb","Acantholippia seriphioides"
"158",21,"Argentina","Valcheta",7,3,1,0.8731,16,43,52.5,50.08268339,0.420643072,0.482977128,50,4690,1.14616185,39.22793449,"Grass","Pappostipa speciosa"
"159",40,"Australia","Fowlers",13,1,3,0.9011,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Sida fibulifera"
"160",40,"Australia","Fowlers",13,1,3,0.9011,5,28.5,1.0975,98.54825822,NA,0.123699631,7,77,1.398667908,33.64629927,"Wood","Sclerolaena lanicuspis"
"161",40,"Australia","Fowlers",13,1,3,0.9011,10,34,1.291666667,111.35356,NA,0.666701208,11,1332,2.455344675,34.61474715,"Herb","Sida corrugata"
"162",40,"Australia","Fowlers",13,1,3,0.9011,80,424,1.079,150.6484444,NA,0.287367791,13,729,3.070211571,38.87154006,"Herb","Lotus cruentus"
"163",40,"Australia","Fowlers",13,1,3,0.9011,61,374.5,0.973125,148.433274,NA,0.128841109,9,342,2.372159948,28.75037128,"Wood","Sclerolaena ventricosa"
"164",40,"Australia","Fowlers",13,1,3,0.9011,68,199,0.56875,83.4837513,NA,0.078907446,64,20172,2.649006172,30.55147296,"Wood","Maireana pyramidata"
