"","formula"
"80","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FDiv+(1|site_ID)"
"81","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+aridity:FRic+(1|site_ID)"
"82","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+aridity:FDiv+(1|site_ID)"
"83","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+FRic:FDiv+(1|site_ID)"
"84","mean_NIntc_rich_binom~graz+aridity+FRic+graz:aridity+graz:FRic+(1|site_ID)"
"85","mean_NIntc_rich_binom~graz+aridity+FRic+graz:aridity+aridity:FRic+(1|site_ID)"
"86","mean_NIntc_rich_binom~graz+aridity+FRic+graz:FRic+aridity:FRic+(1|site_ID)"
"87","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:aridity+(1|site_ID)"
"88","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FEve+(1|site_ID)"
"89","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FDiv+(1|site_ID)"
"90","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+aridity:FEve+(1|site_ID)"
"91","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+aridity:FDiv+(1|site_ID)"
"92","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+FEve:FDiv+(1|site_ID)"
"93","mean_NIntc_rich_binom~graz+aridity+FEve+graz:aridity+graz:FEve+(1|site_ID)"
"94","mean_NIntc_rich_binom~graz+aridity+FEve+graz:aridity+aridity:FEve+(1|site_ID)"
"95","mean_NIntc_rich_binom~graz+aridity+FEve+graz:FEve+aridity:FEve+(1|site_ID)"
"96","mean_NIntc_rich_binom~graz+aridity+FDiv+graz:aridity+graz:FDiv+(1|site_ID)"
"97","mean_NIntc_rich_binom~graz+aridity+FDiv+graz:aridity+aridity:FDiv+(1|site_ID)"
"98","mean_NIntc_rich_binom~graz+aridity+FDiv+graz:FDiv+aridity:FDiv+(1|site_ID)"
"99","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FRic+(1|site_ID)"
"100","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FEve+(1|site_ID)"
"101","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FDiv+(1|site_ID)"
"102","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+FRic:FEve+(1|site_ID)"
"103","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+FRic:FDiv+(1|site_ID)"
"104","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+FEve:FDiv+(1|site_ID)"
"105","mean_NIntc_rich_binom~graz+FRic+FEve+graz:FRic+graz:FEve+(1|site_ID)"
"106","mean_NIntc_rich_binom~graz+FRic+FEve+graz:FRic+FRic:FEve+(1|site_ID)"
"107","mean_NIntc_rich_binom~graz+FRic+FEve+graz:FEve+FRic:FEve+(1|site_ID)"
"108","mean_NIntc_rich_binom~graz+FRic+FDiv+graz:FRic+graz:FDiv+(1|site_ID)"
"109","mean_NIntc_rich_binom~graz+FRic+FDiv+graz:FRic+FRic:FDiv+(1|site_ID)"
"110","mean_NIntc_rich_binom~graz+FRic+FDiv+graz:FDiv+FRic:FDiv+(1|site_ID)"
"111","mean_NIntc_rich_binom~graz+FEve+FDiv+graz:FEve+graz:FDiv+(1|site_ID)"
"112","mean_NIntc_rich_binom~graz+FEve+FDiv+graz:FEve+FEve:FDiv+(1|site_ID)"
"113","mean_NIntc_rich_binom~graz+FEve+FDiv+graz:FDiv+FEve:FDiv+(1|site_ID)"
"114","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FRic+(1|site_ID)"
"115","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FEve+(1|site_ID)"
"116","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FDiv+(1|site_ID)"
"117","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+FRic:FEve+(1|site_ID)"
"118","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+FRic:FDiv+(1|site_ID)"
"119","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+FEve:FDiv+(1|site_ID)"
"120","mean_NIntc_rich_binom~aridity+FRic+FEve+aridity:FRic+aridity:FEve+(1|site_ID)"
"121","mean_NIntc_rich_binom~aridity+FRic+FEve+aridity:FRic+FRic:FEve+(1|site_ID)"
"122","mean_NIntc_rich_binom~aridity+FRic+FEve+aridity:FEve+FRic:FEve+(1|site_ID)"
"123","mean_NIntc_rich_binom~aridity+FRic+FDiv+aridity:FRic+aridity:FDiv+(1|site_ID)"
"124","mean_NIntc_rich_binom~aridity+FRic+FDiv+aridity:FRic+FRic:FDiv+(1|site_ID)"
"125","mean_NIntc_rich_binom~aridity+FRic+FDiv+aridity:FDiv+FRic:FDiv+(1|site_ID)"
"126","mean_NIntc_rich_binom~aridity+FEve+FDiv+aridity:FEve+aridity:FDiv+(1|site_ID)"
"127","mean_NIntc_rich_binom~aridity+FEve+FDiv+aridity:FEve+FEve:FDiv+(1|site_ID)"
"128","mean_NIntc_rich_binom~aridity+FEve+FDiv+aridity:FDiv+FEve:FDiv+(1|site_ID)"
"129","mean_NIntc_rich_binom~FRic+FEve+FDiv+FRic:FEve+FRic:FDiv+(1|site_ID)"
"130","mean_NIntc_rich_binom~FRic+FEve+FDiv+FRic:FEve+FEve:FDiv+(1|site_ID)"
"131","mean_NIntc_rich_binom~FRic+FEve+FDiv+FRic:FDiv+FEve:FDiv+(1|site_ID)"
"132","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+(1|site_ID)"
"133","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+(1|site_ID)"
"134","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+(1|site_ID)"
"135","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+(1|site_ID)"
"136","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FRic+(1|site_ID)"
"137","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FEve+(1|site_ID)"
"138","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FDiv+(1|site_ID)"
"139","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+FRic:FEve+(1|site_ID)"
"140","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+FRic:FDiv+(1|site_ID)"
"141","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+FEve:FDiv+(1|site_ID)"
"142","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:aridity+graz:FRic+(1|site_ID)"
"143","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:aridity+graz:FEve+(1|site_ID)"
"144","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:aridity+aridity:FRic+(1|site_ID)"
"145","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:aridity+aridity:FEve+(1|site_ID)"
"146","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:aridity+FRic:FEve+(1|site_ID)"
"147","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FRic+graz:FEve+(1|site_ID)"
"148","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FRic+aridity:FRic+(1|site_ID)"
"149","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FRic+aridity:FEve+(1|site_ID)"
"150","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FRic+FRic:FEve+(1|site_ID)"
"151","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FEve+aridity:FRic+(1|site_ID)"
"152","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FEve+aridity:FEve+(1|site_ID)"
"153","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+graz:FEve+FRic:FEve+(1|site_ID)"
"154","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+aridity:FRic+aridity:FEve+(1|site_ID)"
"155","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+aridity:FRic+FRic:FEve+(1|site_ID)"
"156","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+aridity:FEve+FRic:FEve+(1|site_ID)"
"157","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:aridity+graz:FRic+(1|site_ID)"
"158","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:aridity+graz:FDiv+(1|site_ID)"
"159","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:aridity+aridity:FRic+(1|site_ID)"
"160","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:aridity+aridity:FDiv+(1|site_ID)"
"161","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:aridity+FRic:FDiv+(1|site_ID)"
"162","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FRic+graz:FDiv+(1|site_ID)"
"163","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FRic+aridity:FRic+(1|site_ID)"
"164","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FRic+aridity:FDiv+(1|site_ID)"
"165","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FRic+FRic:FDiv+(1|site_ID)"
"166","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FDiv+aridity:FRic+(1|site_ID)"
"167","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FDiv+aridity:FDiv+(1|site_ID)"
"168","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+graz:FDiv+FRic:FDiv+(1|site_ID)"
"169","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+aridity:FRic+aridity:FDiv+(1|site_ID)"
"170","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+aridity:FRic+FRic:FDiv+(1|site_ID)"
"171","mean_NIntc_rich_binom~graz+aridity+FRic+FDiv+aridity:FDiv+FRic:FDiv+(1|site_ID)"
"172","mean_NIntc_rich_binom~graz+aridity+FRic+graz:aridity+graz:FRic+aridity:FRic+(1|site_ID)"
"173","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:aridity+graz:FEve+(1|site_ID)"
"174","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:aridity+graz:FDiv+(1|site_ID)"
"175","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:aridity+aridity:FEve+(1|site_ID)"
"176","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:aridity+aridity:FDiv+(1|site_ID)"
"177","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:aridity+FEve:FDiv+(1|site_ID)"
"178","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FEve+graz:FDiv+(1|site_ID)"
"179","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FEve+aridity:FEve+(1|site_ID)"
"180","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FEve+aridity:FDiv+(1|site_ID)"
"181","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FEve+FEve:FDiv+(1|site_ID)"
"182","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FDiv+aridity:FEve+(1|site_ID)"
"183","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FDiv+aridity:FDiv+(1|site_ID)"
"184","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+graz:FDiv+FEve:FDiv+(1|site_ID)"
"185","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+aridity:FEve+aridity:FDiv+(1|site_ID)"
"186","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+aridity:FEve+FEve:FDiv+(1|site_ID)"
"187","mean_NIntc_rich_binom~graz+aridity+FEve+FDiv+aridity:FDiv+FEve:FDiv+(1|site_ID)"
"188","mean_NIntc_rich_binom~graz+aridity+FEve+graz:aridity+graz:FEve+aridity:FEve+(1|site_ID)"
"189","mean_NIntc_rich_binom~graz+aridity+FDiv+graz:aridity+graz:FDiv+aridity:FDiv+(1|site_ID)"
"190","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FRic+graz:FEve+(1|site_ID)"
"191","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FRic+graz:FDiv+(1|site_ID)"
"192","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FRic+FRic:FEve+(1|site_ID)"
"193","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FRic+FRic:FDiv+(1|site_ID)"
"194","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FRic+FEve:FDiv+(1|site_ID)"
"195","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FEve+graz:FDiv+(1|site_ID)"
"196","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FEve+FRic:FEve+(1|site_ID)"
"197","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FEve+FRic:FDiv+(1|site_ID)"
"198","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FEve+FEve:FDiv+(1|site_ID)"
"199","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FDiv+FRic:FEve+(1|site_ID)"
"200","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FDiv+FRic:FDiv+(1|site_ID)"
"201","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+graz:FDiv+FEve:FDiv+(1|site_ID)"
"202","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+FRic:FEve+FRic:FDiv+(1|site_ID)"
"203","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+FRic:FEve+FEve:FDiv+(1|site_ID)"
"204","mean_NIntc_rich_binom~graz+FRic+FEve+FDiv+FRic:FDiv+FEve:FDiv+(1|site_ID)"
"205","mean_NIntc_rich_binom~graz+FRic+FEve+graz:FRic+graz:FEve+FRic:FEve+(1|site_ID)"
"206","mean_NIntc_rich_binom~graz+FRic+FDiv+graz:FRic+graz:FDiv+FRic:FDiv+(1|site_ID)"
"207","mean_NIntc_rich_binom~graz+FEve+FDiv+graz:FEve+graz:FDiv+FEve:FDiv+(1|site_ID)"
"208","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FRic+aridity:FEve+(1|site_ID)"
"209","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FRic+aridity:FDiv+(1|site_ID)"
"210","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FRic+FRic:FEve+(1|site_ID)"
"211","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FRic+FRic:FDiv+(1|site_ID)"
"212","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FRic+FEve:FDiv+(1|site_ID)"
"213","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FEve+aridity:FDiv+(1|site_ID)"
"214","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FEve+FRic:FEve+(1|site_ID)"
"215","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FEve+FRic:FDiv+(1|site_ID)"
"216","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FEve+FEve:FDiv+(1|site_ID)"
"217","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FDiv+FRic:FEve+(1|site_ID)"
"218","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FDiv+FRic:FDiv+(1|site_ID)"
"219","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+aridity:FDiv+FEve:FDiv+(1|site_ID)"
"220","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+FRic:FEve+FRic:FDiv+(1|site_ID)"
"221","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+FRic:FEve+FEve:FDiv+(1|site_ID)"
"222","mean_NIntc_rich_binom~aridity+FRic+FEve+FDiv+FRic:FDiv+FEve:FDiv+(1|site_ID)"
"223","mean_NIntc_rich_binom~aridity+FRic+FEve+aridity:FRic+aridity:FEve+FRic:FEve+(1|site_ID)"
"224","mean_NIntc_rich_binom~aridity+FRic+FDiv+aridity:FRic+aridity:FDiv+FRic:FDiv+(1|site_ID)"
"225","mean_NIntc_rich_binom~aridity+FEve+FDiv+aridity:FEve+aridity:FDiv+FEve:FDiv+(1|site_ID)"
"226","mean_NIntc_rich_binom~FRic+FEve+FDiv+FRic:FEve+FRic:FDiv+FEve:FDiv+(1|site_ID)"
"227","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+graz:FRic+(1|site_ID)"
"228","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+graz:FEve+(1|site_ID)"
"229","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+graz:FDiv+(1|site_ID)"
"230","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+aridity:FRic+(1|site_ID)"
"231","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+aridity:FEve+(1|site_ID)"
"232","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+aridity:FDiv+(1|site_ID)"
"233","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+FRic:FEve+(1|site_ID)"
"234","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+FRic:FDiv+(1|site_ID)"
"235","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:aridity+FEve:FDiv+(1|site_ID)"
"236","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+graz:FEve+(1|site_ID)"
"237","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+graz:FDiv+(1|site_ID)"
"238","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+aridity:FRic+(1|site_ID)"
"239","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+aridity:FEve+(1|site_ID)"
"240","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+aridity:FDiv+(1|site_ID)"
"241","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+FRic:FEve+(1|site_ID)"
"242","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+FRic:FDiv+(1|site_ID)"
"243","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FRic+FEve:FDiv+(1|site_ID)"
"244","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+graz:FDiv+(1|site_ID)"
"245","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+aridity:FRic+(1|site_ID)"
"246","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+aridity:FEve+(1|site_ID)"
"247","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+aridity:FDiv+(1|site_ID)"
"248","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+FRic:FEve+(1|site_ID)"
"249","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+FRic:FDiv+(1|site_ID)"
"250","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FEve+FEve:FDiv+(1|site_ID)"
"251","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+aridity:FRic+(1|site_ID)"
"252","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+aridity:FEve+(1|site_ID)"
"253","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+aridity:FDiv+(1|site_ID)"
"254","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+FRic:FEve+(1|site_ID)"
"255","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+FRic:FDiv+(1|site_ID)"
"256","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+graz:FDiv+FEve:FDiv+(1|site_ID)"
"257","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FRic+aridity:FEve+(1|site_ID)"
"258","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FRic+aridity:FDiv+(1|site_ID)"
"259","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FRic+FRic:FEve+(1|site_ID)"
"260","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FRic+FRic:FDiv+(1|site_ID)"
"261","mean_NIntc_rich_binom~graz+aridity+FRic+FEve+FDiv+aridity:FRic+FEve:FDiv+(1|site_ID)"
