Country,Site,Plot,Genus,Species,coverDryfun20,coverBiodesert100,MeanLL,MeanSLA,MeanLDMC,MeanLA,MaxH,MaxLS,Phenolics,isotopic_d15N,isotopic_d13C,percentN,percentC,P,Al,Ba,Ca,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,Pb,S,Sr,Ti,Zn,Cd,As,Life_form,ELE-ALOS30,Lat_decimal,Long_decimal,ASPECT-ALOS30,SLOPE-ALOS30,AMT,RAI,RASE,AI,ARIDITY,BS_Tst,SAC b,WHC b,pH b,ORC b
Algeria,El Ouassria,2,Echinops,spinosus,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Artemisia,campestris,2,10,2.63,107.6111111,0.288,0.430444444,21,540,,,,,,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Atractylis,serratuloides,27,89,2.773333333,57.11469756,0.32702872,0.719693095,10,440,12.17402242,-2.183424366,-28.15820875,1.19475859,46.56474134,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Telephium,imperati,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Ziziphus,lotus,1,1,1,132.7894737,0.38,0.360428571,3,45,,,,,,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Echium,trygorrhizum,1,4,2.84,158.95,0.117647059,1.059666667,2,35,,,,,,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Stipa,tenacissima,410,1700,55.58333333,40.44409228,0.613103542,1.464959722,103,20300,11.49419435,-1.153898854,-24.18615299,1.137736428,41.32390925,560.51,183.89,2.38,2162.82,20.29,5.78,229.55,5217.39,498.28,16.07,252.46,6.06,,926.24,7.03,66.22,4.01,,,Grass,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Noaea,mucronata,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Scorzonera,undulata,1,9,13,140.7777778,0.138461538,1.0136,3,66,,,,,,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Argyrolobium,uniflorum,1,5,1.56,93.42857143,0.304347826,0.290666667,3,77,,,,,,,,,,,,,,,,,,,,,,,,,Wood,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Stipa,parviflora,6,39,7.288,114.4127937,0.516466957,0.601649524,10,196,5.307927555,-0.562125479,-26.81723755,,,,,,,,,,,,,,,,,,,,,,Grass,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Plantago,albicans,14,68,3.386666667,116.5999613,0.32559313,0.795645671,6,72,40.26838921,2.183302735,-28.01096272,2.379333791,36.13201511,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,2,Scorzonera,laciniata,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,858,35.26817,3.23376,270,1.13584435,15.35417,309,37.99416,0.1661,0.8339,0.695555556,87.88888889,24.81203008,8.01,3.473272115
Algeria,El Ouassria,3,Stipa,tenacissima,308,1291,55,43.12481173,0.591705161,1.369743651,,,11.5724609,-2.523128842,-23.45038073,1.007906315,41.86931469,582.95,115.23,1.63,1987.05,11.07,7.27,149.3,5334.84,486.33,16.24,179.88,4.47,,1027.84,5.73,66.36,4.06,,,Grass,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Stipa,parviflora,1,3,8,96.39130435,0.410714286,0.4434,12,160,,,,,,,,,,,,,,,,,,,,,,,,,Grass,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Iris,sisyrynchium,25,129,15.8,83.17512842,0.277158879,1.226317778,19,729,36.3102614,1.024449523,-27.17931698,2.010677208,38.66132631,1056.15,202.6,53.09,17540.29,7.93,7.07,190.05,10183.4,1669.03,15.86,447.94,2.56,,1709.36,52.94,63.59,5.57,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Telephium,imperati,4,14,2.5,135.5060445,0.225681783,0.197028387,1,170,55.78578553,1.780864951,-27.80292472,3.65578615,44.41149244,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Paronychia,argentea,2,22,0.73,88.04227941,0.354545455,0.056430303,3,54,,4.999515224,-28.56575439,0.961152705,35.59904655,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Launaea,resedifolia,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Atractylis,serratuloides,37,145,2.69,59.53066145,0.293337373,0.700300085,12,700,16.84086705,-2.700589174,-28.1839327,1.702288458,40.62755317,873.75,151.95,4.78,9596.42,8.71,10.32,156.04,23531.06,1834.1,18.64,1070.19,2.92,,3257.69,38.38,65.48,3.88,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Echium,trygorrhizum,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Argyrolobium,uniflorum,1,8,1,91.90196078,0.26984127,0.120179487,3,60,,,,,,,,,,,,,,,,,,,,,,,,,Wood,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Scorzonera,undulata,3,9,13,131.9617891,0.144347654,1.065522619,5,308,33.62852493,-0.312221291,-29.15109583,2.063580894,41.91132408,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Noaea,mucronata,8,15,2.4475,70.79205032,0.285059621,0.11245858,16,616,14.3626275,5.197055136,-15.35680223,4.49829425,38.13792168,,,,,,,,,,,,,,,,,,,,Wood,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Matthiola,longipetala,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Plantago,albicans,29,128,3.264,125.2216567,0.207174829,0.894984127,9,99,27.09686197,2.723567147,-28.24700454,1.803275193,29.03298357,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Ajuga,iva,8,23,2.3225,124.5392439,0.234381549,0.664321875,6,24,19.86759406,3.380674192,-27.88653195,2.853478545,35.58394721,,,,,,,,,,,,,,,,,,,,Wood,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Dactylis,glomerata,1,1,17,,0.341463415,,18,750,,,,,,,,,,,,,,,,,,,,,,,,,Grass,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Allium,cupani,13,72,12.91666667,94.42840881,0.2168758,0.381693508,15,504,39.70308384,1.490640471,-26.17795574,4.881180956,40.29279324,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Stipa,barbata,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,El Ouassria,3,Salvia,verbenaca,1,6,4,97.3115942,0.241681261,3.35725,2,48,,,,,,,,,,,,,,,,,,,,,,,,,Herb,870,35.26881,3.23955,270,1.135852098,15.35417,309,37.99416,0.1661,0.8339,0.73,76.22222222,27.42647059,7.55,6.513880648
Algeria,Hassi Bahbah,1,Salsola,foetida,198,810,0.9145,37.71840008,0.194579381,0.12518208,70,32000,15.88884253,19.02720179,-14.88317576,3.633847499,27.53563031,2043.33,91.64,0.89,6394.57,6.14,10.23,116.1,18727.99,4369.19,34.51,144005.6,3.57,,23221.65,18.56,66.68,12.55,,,Wood,863,34.93256,3.05053,90,1.13117981,15.65417,290,36.52932,0.1465,0.8535,0.845555556,39.88888889,31.74061433,7.19,8.570883408
Algeria,Hassi Bahbah,1,Atriplex,halimus,19,19,2.69,129.9518072,0.157794677,2.1572,20,11360,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93256,3.05053,90,1.13117981,15.65417,290,36.52932,0.1465,0.8535,0.845555556,39.88888889,31.74061433,7.19,8.570883408
Algeria,Hassi Bahbah,1,Salsola,vermiculata,32,112,0.93,84.44479167,0.153847671,0.081783828,38,8800,14.57806691,33.10380729,-14.20737208,2.725116002,31.42545567,,,,,,,,,,,,,,,,,,,,Wood,863,34.93256,3.05053,90,1.13117981,15.65417,290,36.52932,0.1465,0.8535,0.845555556,39.88888889,31.74061433,7.19,8.570883408
Algeria,Hassi Bahbah,2,Ferula,communis,2,19,40,178.8627451,0.193181818,4.561,14,4800,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Centaurea,incana,2,4,2.45,181.8733766,0.162288931,0.714576923,1,60,,10.55067749,-29.95852805,2.879802912,37.84569577,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Aizoon,sp.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Atriplex,halimus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Herniaria,fontanesii,14,55,0.487142857,127.0661499,0.308971605,0.040304494,4,88,50.86610853,9.863990382,-27.48059364,0.655915416,42.61729246,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Plantago,coronopus,4,,6.02,153.4594298,0.089022491,2.225833333,9,54,,9.182574509,-30.81607608,1.376130888,34.62863504,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Onopordum,arenarium,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Thymelaea,microphylla,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Peganum,harmala,1,76,3.04,117.5555556,0.166666667,1.058,12,91,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Retama,raetam,31,185,14,43.44230769,0.272965879,0.56475,155,33300,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Atriplex,glauca,1,5,1.59,118,0.194092827,0.2714,3,63,,,,,,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Plantago,albicans,22,89,4.57,127.6915154,0.203398424,0.820072346,5,315,79.76969807,7.757157461,-29.87817367,1.973026354,36.6014163,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Salsola,vermiculata,475,1802,0.966666667,85.16269735,0.166363715,0.08224386,55,63000,20.36181282,16.20796713,-14.07990111,2.14899437,30.7497935,,,,,,,,,,,,,,,,,,,,Wood,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Muscari,comosum,4,15,7.79,158.212407,0.099642379,9.198333333,8,144,23.82461892,7.310959646,-27.06305268,3.72474648,35.47090841,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Paronychia,argentea,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Cynodon,dactylon,4,20,2.255,208.7600733,0.397569444,0.278996753,4,48,,7.756196505,-17.05562798,2.734956901,42.30297122,,,,,,,,,,,,,,,,,,,,Grass,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,2,Iris,sisyrynchium,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herb,863,34.93281,3.05913,0,0.927409947,15.64583,290,36.52932,0.1462,0.8538,0.667777778,76.88888889,21.875,8.21,2.504607593
Algeria,Hassi Bahbah,3,Aizoon,sp.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,864,34.93471,3.06564,90,1.131206632,15.6625,290,36.52932,0.1459,0.8541,0.756666667,89.33333333,25.91,7.77,3.747552953
Algeria,Hassi Bahbah,3,Thymelaea,microphylla,2,43,0.445,109.8730159,0.314824515,0.049747273,15,420,,5.402055944,-28.1372175,2.591124987,39.89206965,,,,,,,,,,,,,,,,,,,,Wood,864,34.93471,3.06564,90,1.131206632,15.6625,290,36.52932,0.1459,0.8541,0.756666667,89.33333333,25.91,7.77,3.747552953
Algeria,Hassi Bahbah,3,Onopordum,acaulon,2,8,3.5,109.3088162,0.178371243,2.351666667,1,49,,7.090076567,-29.58789161,1.701613643,42.76269117,,,,,,,,,,,,,,,,,,,,Herb,864,34.93471,3.06564,90,1.131206632,15.6625,290,36.52932,0.1459,0.8541,0.756666667,89.33333333,25.91,7.77,3.747552953
Algeria,Hassi Bahbah,3,Onopordum,arenarium,1,,8,77.35326087,0.258790436,7.1165,8,77,,,,,,,,,,,,,,,,,,,,,,,,,Herb,864,34.93471,3.06564,90,1.131206632,15.6625,290,36.52932,0.1459,0.8541,0.756666667,89.33333333,25.91,7.77,3.747552953
Algeria,Hassi Bahbah,3,Atractylis,carduus,1,10,3,62.38636364,0.297297297,0.343125,5,35,,,,,,,,,,,,,,,,,,,,,,,,,Wood,864,34.93471,3.06564,90,1.131206632,15.6625,290,36.52932,0.1459,0.8541,0.756666667,89.33333333,25.91,7.77,3.747552953
Algeria,Hassi Bahbah,3,Retama,raetam,230,1032,26.29571429,15.50583181,0.447542628,0.902230303,200,145140,49.24053412,5.411895792,-27.31876921,1.591380984,43.96463222,878.69,174.78,1.76,9004.8,1.33,11.51,140.86,4058.75,2960.36,25.75,317.82,,,1410.35,54.27,65.36,19.48,,,Wood,864,34.93471,3.06564,90,1.131206632,15.6625,290,36.52932,0.1459,0.8541,0.756666667,89.33333333,25.91,7.77,3.747552953
