"","ID","plotref","Site","Country","Plot","Genus","Species","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","site_ID","GRAZ","ARIDITY.v3","sp_fullname"
"68",16,"6_1","Rio Colorado","Argentina",1,"Poa","ligularis",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Poa ligularis"
"69",16,"6_1","Rio Colorado","Argentina",1,"Monttea","aphylla",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Monttea aphylla"
"70",16,"6_1","Rio Colorado","Argentina",1,"Senna","aphylla",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Senna aphylla"
"72",16,"6_1","Rio Colorado","Argentina",1,"Poa","lanuginosa",NA,NA,NA,NA,NA,NA,6,3,0.8212,"Poa lanuginosa"
"73",16,"6_1","Rio Colorado","Argentina",1,"Prosopis","flexuosa",9.736666667,59.90600101,0.411080516,8.259888889,200,70000,6,3,0.8212,"Prosopis flexuosa"
"74",16,"6_1","Rio Colorado","Argentina",1,"Chuquiraga","rosulata",0.58,35.24761905,0.621301775,0.036284314,56,7560,6,3,0.8212,"Chuquiraga rosulata"
"75",16,"6_1","Rio Colorado","Argentina",1,"Aloysia","gratissima",2.43,105.255814,0.421568627,0.9052,70,2700,6,3,0.8212,"Aloysia gratissima"
"77",16,"6_1","Rio Colorado","Argentina",1,"Amelichloa","ambigua",49.42857143,61.16544342,0.43815546,0.933812657,74,8000,6,3,0.8212,"Amelichloa ambigua"
"78",16,"6_1","Rio Colorado","Argentina",1,"Glandularia","parodii",2.9,75.31011071,0.319075761,0.782971429,40,1050,6,3,0.8212,"Glandularia parodii"
"79",16,"6_1","Rio Colorado","Argentina",1,"Sphaeralcea","mendocina",2.191428571,182.6375931,0.24198599,1.369257143,20,216,6,3,0.8212,"Sphaeralcea mendocina"
"80",16,"6_1","Rio Colorado","Argentina",1,"Nassella","longiglumis",38.55555556,82.73043498,0.419774814,1.013942574,70,6216,6,3,0.8212,"Nassella longiglumis"
"81",16,"6_1","Rio Colorado","Argentina",1,"Baccharis","ulicina",1.558181818,119.0641042,0.344491681,0.162004133,52.5,1584,6,3,0.8212,"Baccharis ulicina"
"82",16,"6_1","Rio Colorado","Argentina",1,"Geoffroea","decorticans",2.06,80.52040816,0.404958678,1.315166667,166,7600,6,3,0.8212,"Geoffroea decorticans"
"83",16,"6_1","Rio Colorado","Argentina",1,"Pappostipa","speciosa",52.5,43.7774626,0.461175954,0.404873563,56,3600,6,3,0.8212,"Pappostipa speciosa"
"84",17,"6_2","Rio Colorado","Argentina",2,"Sphaeralcea","mendocina",NA,NA,NA,NA,NA,NA,6,2,0.8223,"Sphaeralcea mendocina"
"85",17,"6_2","Rio Colorado","Argentina",2,"Brachyclados","lycioides",3.46,71.15217391,0.37704918,0.5455,32,2385,6,2,0.8223,"Brachyclados lycioides"
"86",17,"6_2","Rio Colorado","Argentina",2,"Trichocline","sinuata",8,101.3918919,0.259345794,9.0036,6,209,6,2,0.8223,"Trichocline sinuata"
"87",17,"6_2","Rio Colorado","Argentina",2,"Ephedra","ochreata",10.36,17.22262774,0.440514469,1.8876,40,4900,6,2,0.8223,"Ephedra ochreata"
"88",17,"6_2","Rio Colorado","Argentina",2,"Pappostipa","humilis",25,99.35135135,0.560606061,0.14704,20,440,6,2,0.8223,"Pappostipa humilis"
"90",17,"6_2","Rio Colorado","Argentina",2,"Junellia","seriphioides",NA,NA,NA,NA,NA,NA,6,2,0.8223,"Junellia seriphioides"
"91",17,"6_2","Rio Colorado","Argentina",2,"Prosopidastrum","globosum",7.13,13.85955056,0.53776435,0.9868,16,897,6,2,0.8223,"Prosopidastrum globosum"
"92",17,"6_2","Rio Colorado","Argentina",2,"Conyza","lorentzii",6.2325,306.7566545,0.186941566,3.23115,44,360,6,2,0.8223,"Conyza lorentzii"
"94",17,"6_2","Rio Colorado","Argentina",2,"Chuquiraga","rosulata",0.633333333,42.23969039,0.652801311,0.035712081,125,10260,6,2,0.8223,"Chuquiraga rosulata"
"95",17,"6_2","Rio Colorado","Argentina",2,"Senna","aphylla",6.95,23.85897436,0.480739599,1.063428571,30,6000,6,2,0.8223,"Senna aphylla"
"96",17,"6_2","Rio Colorado","Argentina",2,"Nassella","longiglumis",NA,NA,NA,NA,NA,NA,6,2,0.8223,"Nassella longiglumis"
"97",17,"6_2","Rio Colorado","Argentina",2,"Condalia","microphylla",0.42,62.60273973,0.439759036,0.042314815,15,26800,6,2,0.8223,"Condalia microphylla"
"98",17,"6_2","Rio Colorado","Argentina",2,"Baccharis","ulicina",1.88,108.852459,0.319371728,0.086233766,34,40000,6,2,0.8223,"Baccharis ulicina"
"99",17,"6_2","Rio Colorado","Argentina",2,"Pappostipa","speciosa",66.75,62.17157266,0.449736047,0.463430067,60,3000,6,2,0.8223,"Pappostipa speciosa"
"100",17,"6_2","Rio Colorado","Argentina",2,"Monttea","aphylla",5.94,20.01345291,0.446,0.743833333,180,42000,6,2,0.8223,"Monttea aphylla"
"101",17,"6_2","Rio Colorado","Argentina",2,"Prosopis","flexuosa",11,41.0927888,0.46615238,6.6375,180,110200,6,2,0.8223,"Prosopis flexuosa"
"102",17,"6_2","Rio Colorado","Argentina",2,"Baccharis","gilliesii",1.28,109.7627119,0.347058824,0.087513514,27,690,6,2,0.8223,"Baccharis gilliesii"
"103",17,"6_2","Rio Colorado","Argentina",2,"Larrea","divaricata",0.95,83.54410456,0.450876657,0.292470068,300,98600,6,2,0.8223,"Larrea divaricata"
"104",17,"6_2","Rio Colorado","Argentina",2,"Acantholippia","seriphioides",0.2825,72.08177673,0.458530923,0.017530626,42,3500,6,2,0.8223,"Acantholippia seriphioides"
"105",17,"6_2","Rio Colorado","Argentina",2,"Lycium","chilense",0.995714286,121.0865962,0.286261819,0.043826853,180,23100,6,2,0.8223,"Lycium chilense"
"106",17,"6_2","Rio Colorado","Argentina",2,"Nassella","tenuis",22.38888889,117.3273257,0.382316014,0.259508328,26,1496,6,2,0.8223,"Nassella tenuis"
"107",17,"6_2","Rio Colorado","Argentina",2,"Glandularia","parodii",3.176666667,79.89250402,0.324572928,1.078666667,27,918,6,2,0.8223,"Glandularia parodii"
"108",17,"6_2","Rio Colorado","Argentina",2,"Cardionema","ramosissima",0.87,107.5491733,0.407595184,0.019839294,6,192,6,2,0.8223,"Cardionema ramosissima"
"109",17,"6_2","Rio Colorado","Argentina",2,"Bredemeyera","microphylla",0.935,64.88989899,0.431624897,0.064927394,50,2400,6,2,0.8223,"Bredemeyera microphylla"
"112",18,"6_3","Rio Colorado","Argentina",3,"Acantholippia","seriphioides",0.25,67.66447368,0.475,0.03016129,33,126,6,1,0.8223,"Acantholippia seriphioides"
"113",18,"6_3","Rio Colorado","Argentina",3,"Condalia","microphylla",0.465555556,48.91681649,0.500639779,0.042212298,220,142355,6,1,0.8223,"Condalia microphylla"
"114",18,"6_3","Rio Colorado","Argentina",3,"Baccharis","crispa",NA,NA,NA,NA,NA,NA,6,1,0.8223,"Baccharis crispa"
"115",18,"6_3","Rio Colorado","Argentina",3,"Ephedra","triandra",8.17,18.03587706,0.496563191,1.281666667,100,2400,6,1,0.8223,"Ephedra triandra"
"116",18,"6_3","Rio Colorado","Argentina",3,"Nassella","tenuis",19.84615385,122.4459931,0.41467299,0.201614596,30,660,6,1,0.8223,"Nassella tenuis"
"117",18,"6_3","Rio Colorado","Argentina",3,"Senna","aphylla",7.63,24.81967213,0.480314961,0.56775,37,1600,6,1,0.8223,"Senna aphylla"
"118",18,"6_3","Rio Colorado","Argentina",3,"Conyza","lorentzii",8.271428571,274.3707479,0.178556977,6.194942857,40,1540,6,1,0.8223,"Conyza lorentzii"
"119",18,"6_3","Rio Colorado","Argentina",3,"Amelichloa","ambigua",55,46.95092025,0.468390805,0.364428571,50,2300,6,1,0.8223,"Amelichloa ambigua"
"120",18,"6_3","Rio Colorado","Argentina",3,"Baccharis","gilliesii",1.3,99.64285714,0.449541284,0.107307692,18,100,6,1,0.8223,"Baccharis gilliesii"
"121",18,"6_3","Rio Colorado","Argentina",3,"Prosopidastrum","globosum",7.664,14.01435511,0.55324358,1.016928459,140,30400,6,1,0.8223,"Prosopidastrum globosum"
"122",18,"6_3","Rio Colorado","Argentina",3,"Poa","lanuginosa",57,53.40486726,0.361022364,0.670527778,NA,NA,6,1,0.8223,"Poa lanuginosa"
"123",18,"6_3","Rio Colorado","Argentina",3,"Larrea","divaricata",NA,NA,NA,NA,NA,NA,6,1,0.8223,"Larrea divaricata"
"124",18,"6_3","Rio Colorado","Argentina",3,"Baccharis","melanopotamica",0.54,116.5925926,0.38028169,0.046985075,12,80,6,1,0.8223,"Baccharis melanopotamica"
"125",18,"6_3","Rio Colorado","Argentina",3,"Pappostipa","speciosa",67.66666667,54.82525897,0.508531837,0.307296129,60,1890,6,1,0.8223,"Pappostipa speciosa"
"126",18,"6_3","Rio Colorado","Argentina",3,"Lycium","gilliesianum",1.62,162.6461039,0.19622454,0.050100029,140,14400,6,1,0.8223,"Lycium gilliesianum"
"127",18,"6_3","Rio Colorado","Argentina",3,"Pappostipa","humilis",48.85714286,78.97987073,0.535341551,0.235155023,50,2726,6,1,0.8223,"Pappostipa humilis"
"128",18,"6_3","Rio Colorado","Argentina",3,"Sphaeralcea","mendocina",1.87,103.1195881,0.352642276,0.9953,53,1000,6,1,0.8223,"Sphaeralcea mendocina"
"129",18,"6_3","Rio Colorado","Argentina",3,"Ephedra","ochreata",7.535,14.6566193,0.505577763,1.414078571,56,3000,6,1,0.8223,"Ephedra ochreata"
"131",18,"6_3","Rio Colorado","Argentina",3,"Chuquiraga","rosulata",0.585714286,39.5118364,0.67093978,0.031057415,74,13800,6,1,0.8223,"Chuquiraga rosulata"
"132",18,"6_3","Rio Colorado","Argentina",3,"Geoffroea","decorticans",2.1425,88.02097065,0.431946997,1.416759524,240,14400,6,1,0.8223,"Geoffroea decorticans"
"133",18,"6_3","Rio Colorado","Argentina",3,"Cardionema","ramosissima",NA,NA,NA,NA,NA,NA,6,1,0.8223,"Cardionema ramosissima"
"135",18,"6_3","Rio Colorado","Argentina",3,"Lycium","chilense",0.805,124.3469294,0.252124449,0.027654164,170,5605,6,1,0.8223,"Lycium chilense"
"136",18,"6_3","Rio Colorado","Argentina",3,"Glandularia","parodii",3.533333333,70.4916221,0.341548023,1.435866667,53,510,6,1,0.8223,"Glandularia parodii"
"137",18,"6_3","Rio Colorado","Argentina",3,"Brachyclados","lycioides",4,63.76271186,0.383116883,0.179142857,70,12000,6,1,0.8223,"Brachyclados lycioides"
"138",18,"6_3","Rio Colorado","Argentina",3,"Prosopis","flexuosa",8.556666667,60.26279261,0.462733972,6.068944444,140,23800,6,1,0.8223,"Prosopis flexuosa"
"139",18,"6_3","Rio Colorado","Argentina",3,"Baccharis","ulicina",1.5,128.5460664,0.397257111,0.075398912,36,1360,6,1,0.8223,"Baccharis ulicina"
"140",18,"6_3","Rio Colorado","Argentina",3,"Schinus","johnstonii",NA,NA,NA,NA,NA,NA,6,1,0.8223,"Schinus johnstonii"
"144",19,"7_1","Valcheta","Argentina",1,"Larrea","divaricata",0.756666667,67.18375789,0.453733663,0.245921863,118,17600,7,3,0.8738,"Larrea divaricata"
"145",19,"7_1","Valcheta","Argentina",1,"Larrea","cuneifolia",0.78,51.27577601,0.503042645,0.226422857,124,24600,7,3,0.8738,"Larrea cuneifolia"
"146",19,"7_1","Valcheta","Argentina",1,"Schinus","johnstonii",NA,NA,NA,NA,NA,NA,7,3,0.8738,"Schinus johnstonii"
"147",19,"7_1","Valcheta","Argentina",1,"Mulguraea","aspera",1.06,165.4444444,0.341772152,0.124083333,42,306,7,3,0.8738,"Mulguraea aspera"
"148",19,"7_1","Valcheta","Argentina",1,"Nassella","tenuis",10.9,114.443199,0.366824057,0.280117489,30,920,7,3,0.8738,"Nassella tenuis"
"149",19,"7_1","Valcheta","Argentina",1,"Lycium","chilense",NA,NA,0.293706294,NA,90,600,7,3,0.8738,"Lycium chilense"
"150",19,"7_1","Valcheta","Argentina",1,"Pappostipa","speciosa",NA,NA,NA,NA,NA,NA,7,3,0.8738,"Pappostipa speciosa"
"152",19,"7_1","Valcheta","Argentina",1,"Boopis","anthemoides",NA,NA,NA,NA,NA,NA,7,3,0.8738,"Boopis anthemoides"
"153",19,"7_1","Valcheta","Argentina",1,"Nassella","longiglumis",25,127.0833333,0.342857143,0.508333333,20,360,7,3,0.8738,"Nassella longiglumis"
"154",19,"7_1","Valcheta","Argentina",1,"Tetraglochin","caespitosum",0.88,132.5545455,0.351419878,0.190173611,17,255,7,3,0.8738,"Tetraglochin caespitosum"
"156",19,"7_1","Valcheta","Argentina",1,"Gutierrezia","baccharoides",3.181818182,97.9360037,0.289690207,0.661413605,14,810,7,3,0.8738,"Gutierrezia baccharoides"
"157",19,"7_1","Valcheta","Argentina",1,"Poa","ligularis",25,112.553252,0.300667931,0.6171,35,112,7,3,0.8738,"Poa ligularis"
"159",19,"7_1","Valcheta","Argentina",1,"Bougainvillea","spinosa",1.65,62.95294118,0.250737463,0.137205128,140,62400,7,3,0.8738,"Bougainvillea spinosa"
"160",19,"7_1","Valcheta","Argentina",1,"Acantholippia","seriphioides",0.230909091,86.87625552,0.390972505,0.0183041,40,2400,7,3,0.8738,"Acantholippia seriphioides"
"161",19,"7_1","Valcheta","Argentina",1,"Monttea","aphylla",6.51,8.422845691,0.648894668,0.8406,200,85800,7,3,0.8738,"Monttea aphylla"
"162",20,"7_2","Valcheta","Argentina",2,"Ephedra","ochreata",NA,NA,NA,NA,NA,NA,7,2,0.8738,"Ephedra ochreata"
"163",20,"7_2","Valcheta","Argentina",2,"Gutierrezia","baccharoides",NA,NA,NA,NA,NA,NA,7,2,0.8738,"Gutierrezia baccharoides"
"168",20,"7_2","Valcheta","Argentina",2,"Lycium","chilense",0.86,178.4443734,0.172627119,0.040760439,60,7380,7,2,0.8738,"Lycium chilense"
"170",20,"7_2","Valcheta","Argentina",2,"Nassella","tenuis",13.29166667,134.2563924,0.309106129,0.396910377,20,391,7,2,0.8738,"Nassella tenuis"
"171",20,"7_2","Valcheta","Argentina",2,"Prosopis","flexuosa",11,50.00914634,0.431011827,3.2806,80,19800,7,2,0.8738,"Prosopis flexuosa"
"172",20,"7_2","Valcheta","Argentina",2,"Larrea","divaricata",0.814545455,64.84988941,0.487463053,0.331426339,210,63800,7,2,0.8738,"Larrea divaricata"
"174",20,"7_2","Valcheta","Argentina",2,"Sphaeralcea","mendocina",NA,NA,NA,NA,NA,NA,7,2,0.8738,"Sphaeralcea mendocina"
"175",20,"7_2","Valcheta","Argentina",2,"Monttea","aphylla",7.11,8.828316611,0.6325811,1.319833333,85,4200,7,2,0.8738,"Monttea aphylla"
"176",20,"7_2","Valcheta","Argentina",2,"Poa","ligularis",NA,NA,NA,NA,NA,NA,7,2,0.8738,"Poa ligularis"
"177",20,"7_2","Valcheta","Argentina",2,"Schinus","johnstonii",1.7,47.45614035,0.452380952,0.386428571,70,17760,7,2,0.8738,"Schinus johnstonii"
"178",20,"7_2","Valcheta","Argentina",2,"Acantholippia","seriphioides",0.231666667,90.97687808,0.381574475,0.016136041,24,6300,7,2,0.8738,"Acantholippia seriphioides"
"179",20,"7_2","Valcheta","Argentina",2,"Pappostipa","speciosa",NA,NA,NA,NA,NA,NA,7,2,0.8738,"Pappostipa speciosa"
"180",20,"7_2","Valcheta","Argentina",2,"Poa","lanuginosa",24.5,107.8164725,0.271461988,0.636081818,20,1,7,2,0.8738,"Poa lanuginosa"
"182",21,"7_3","Valcheta","Argentina",3,"Poa","lanuginosa",52,139.7738095,0.282828283,1.956833333,36,1,7,1,0.8731,"Poa lanuginosa"
"183",21,"7_3","Valcheta","Argentina",3,"Jarava","neaei",NA,NA,NA,NA,NA,NA,7,1,0.8731,"Jarava neaei"
"184",21,"7_3","Valcheta","Argentina",3,"Ephedra","ochreata",7.29,11.1995118,0.532534853,1.302041667,50,25500,7,1,0.8731,"Ephedra ochreata"
"185",21,"7_3","Valcheta","Argentina",3,"Lycium","chilense",1,123.4210526,0.222222222,0.055176471,60,680,7,1,0.8731,"Lycium chilense"
"188",21,"7_3","Valcheta","Argentina",3,"Monttea","aphylla",6.665,7.226849249,0.632031231,1.1949,180,152100,7,1,0.8731,"Monttea aphylla"
"189",21,"7_3","Valcheta","Argentina",3,"Tetraglochin","caespitosum",NA,NA,NA,NA,NA,NA,7,1,0.8731,"Tetraglochin caespitosum"
"190",21,"7_3","Valcheta","Argentina",3,"Nassella","tenuis",19.53571429,89.03185707,0.378925626,0.350165795,30,800,7,1,0.8731,"Nassella tenuis"
"192",21,"7_3","Valcheta","Argentina",3,"Senna","aphylla",6.586,17.57121415,0.544707006,0.821013333,36,13200,7,1,0.8731,"Senna aphylla"
"193",21,"7_3","Valcheta","Argentina",3,"Larrea","divaricata",0.811666667,60.10653218,0.508140527,0.296230094,160,41400,7,1,0.8731,"Larrea divaricata"
"195",21,"7_3","Valcheta","Argentina",3,"Prosopis","flexuosa",11,55.10734463,0.446406053,9.754,100,26000,7,1,0.8731,"Prosopis flexuosa"
"196",21,"7_3","Valcheta","Argentina",3,"Gutierrezia","baccharoides",3.403333333,177.1929268,0.197473707,0.253426768,36,1400,7,1,0.8731,"Gutierrezia baccharoides"
"197",21,"7_3","Valcheta","Argentina",3,"Acantholippia","seriphioides",0.274,73.54759734,0.378231773,0.023833186,47,4800,7,1,0.8731,"Acantholippia seriphioides"
"198",21,"7_3","Valcheta","Argentina",3,"Pappostipa","speciosa",52.5,50.08268339,0.420643072,0.482977128,50,4690,7,1,0.8731,"Pappostipa speciosa"
"200",40,"13_1","Fowlers","Australia",1,"Maireana","pyramidata",0.56875,83.4837513,NA,0.078907446,64,20172,13,3,0.9011,"Maireana pyramidata"
"203",40,"13_1","Fowlers","Australia",1,"Lotus","cruentus",1.079,150.6484444,NA,0.287367791,13,729,13,3,0.9011,"Lotus cruentus"
"205",40,"13_1","Fowlers","Australia",1,"Sclerolaena","ventricosa",0.973125,148.433274,NA,0.128841109,9,342,13,3,0.9011,"Sclerolaena ventricosa"
"206",40,"13_1","Fowlers","Australia",1,"Maireana","turbinata",NA,NA,NA,NA,NA,NA,13,3,0.9011,"Maireana turbinata"
"207",40,"13_1","Fowlers","Australia",1,"Minuria","cunninghamii",2.377,153.0885733,NA,0.25478371,22,238,13,3,0.9011,"Minuria cunninghamii"
"208",40,"13_1","Fowlers","Australia",1,"Sclerolaena","brachyptera",0.927222222,141.0887649,NA,0.131538961,14,460,13,3,0.9011,"Sclerolaena brachyptera"
"210",40,"13_1","Fowlers","Australia",1,"Atriplex","vesicaria",NA,NA,NA,NA,NA,NA,13,3,0.9011,"Atriplex vesicaria"
"212",40,"13_1","Fowlers","Australia",1,"Sclerolaena","divaricata",1.049,148.0079407,NA,0.119177356,12,156,13,3,0.9011,"Sclerolaena divaricata"
"213",40,"13_1","Fowlers","Australia",1,"Sida","fibulifera",NA,NA,NA,NA,NA,NA,13,3,0.9011,"Sida fibulifera"
"214",40,"13_1","Fowlers","Australia",1,"Sclerolaena","lanicuspis",1.0975,98.54825822,NA,0.123699631,7,77,13,3,0.9011,"Sclerolaena lanicuspis"
"215",40,"13_1","Fowlers","Australia",1,"Sida","corrugata",1.291666667,111.35356,NA,0.666701208,11,1332,13,3,0.9011,"Sida corrugata"
"217",41,"13_2","Fowlers","Australia",2,"Enneapogon","avenaceus",3.703846154,105.0830176,NA,0.251472695,7,121,13,2,0.9008,"Enneapogon avenaceus"
"218",41,"13_2","Fowlers","Australia",2,"Austrostipa","scabra",5.141,82.85286071,NA,0.215232207,23,256,13,2,0.9008,"Austrostipa scabra"
"219",41,"13_2","Fowlers","Australia",2,"Sclerolaena","obliquicuspis",0.934,104.9985349,NA,0.229632756,20,682,13,2,0.9008,"Sclerolaena obliquicuspis"
"221",41,"13_2","Fowlers","Australia",2,"Maireana","pyramidata",0.445,105.3459119,NA,0.062037037,44,2964,13,2,0.9008,"Maireana pyramidata"
